<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURPLN,D,20040428,000000,4.7789,4.7916,4.7628,4.7714,0,0
EURPLN,D,20040429,000000,4.7945,4.8103,4.7587,4.7791,0,0
EURPLN,D,20040430,000000,4.7828,4.82,4.7757,4.8104,0,0
EURPLN,D,20040503,000000,4.8235,4.8291,4.7641,4.7641,0,0
EURPLN,D,20040504,000000,4.7878,4.7883,4.7369,4.745,0,0
EURPLN,D,20040505,000000,4.7434,4.7622,4.7333,4.742,0,0
EURPLN,D,20040506,000000,4.7333,4.7771,4.7333,4.7477,0,0
EURPLN,D,20040507,000000,4.7439,4.7678,4.7068,4.7556,0,0
EURPLN,D,20040510,000000,4.7609,4.771,4.7433,4.7519,0,0
EURPLN,D,20040511,000000,4.7615,4.7785,4.7381,4.7768,0,0
EURPLN,D,20040512,000000,4.7808,4.7845,4.7556,4.7811,0,0
EURPLN,D,20040513,000000,4.7761,4.789,4.7563,4.7636,0,0
EURPLN,D,20040514,000000,4.769,4.7858,4.7465,4.7574,0,0
EURPLN,D,20040517,000000,4.772,4.7939,4.762,4.7671,0,0
EURPLN,D,20040518,000000,4.7648,4.7732,4.6931,4.6943,0,0
EURPLN,D,20040519,000000,4.6858,4.7171,4.6775,4.6818,0,0
EURPLN,D,20040520,000000,4.6746,4.7032,4.669,4.6819,0,0
EURPLN,D,20040521,000000,4.6942,4.712,4.6631,4.6711,0,0
EURPLN,D,20040524,000000,4.659,4.6677,4.6238,4.6289,0,0
EURPLN,D,20040525,000000,4.629,4.6568,4.6282,4.6464,0,0
EURPLN,D,20040526,000000,4.6552,4.6767,4.6241,4.6294,0,0
EURPLN,D,20040527,000000,4.6367,4.6769,4.6359,4.6707,0,0
EURPLN,D,20040528,000000,4.6666,4.6711,4.6264,4.638,0,0
EURPLN,D,20040531,000000,4.6411,4.6541,4.6364,4.6478,0,0
EURPLN,D,20040601,000000,4.6539,4.6661,4.627,4.6306,0,0
EURPLN,D,20040602,000000,4.6443,4.6718,4.6383,4.6532,0,0
EURPLN,D,20040603,000000,4.6372,4.6617,4.6356,4.6407,0,0
EURPLN,D,20040604,000000,4.6368,4.6612,4.6351,4.6488,0,0
EURPLN,D,20040607,000000,4.6612,4.6624,4.5912,4.5971,0,0
EURPLN,D,20040608,000000,4.5929,4.6082,4.5793,4.604,0,0
EURPLN,D,20040609,000000,4.6004,4.607,4.5893,4.5905,0,0
EURPLN,D,20040610,000000,4.5879,4.6017,4.5773,4.5882,0,0
EURPLN,D,20040611,000000,4.5789,4.5939,4.5767,4.5816,0,0
EURPLN,D,20040614,000000,4.5756,4.576,4.5471,4.5529,0,0
EURPLN,D,20040615,000000,4.5539,4.5876,4.5471,4.569,0,0
EURPLN,D,20040616,000000,4.5719,4.582,4.5498,4.5566,0,0
EURPLN,D,20040617,000000,4.5607,4.5809,4.5597,4.5739,0,0
EURPLN,D,20040618,000000,4.5768,4.5925,4.5688,4.5839,0,0
EURPLN,D,20040621,000000,4.581,4.5916,4.571,4.5882,0,0
EURPLN,D,20040622,000000,4.5854,4.5967,4.5695,4.5738,0,0
EURPLN,D,20040623,000000,4.5848,4.5882,4.5478,4.5536,0,0
EURPLN,D,20040624,000000,4.5522,4.5681,4.5475,4.5553,0,0
EURPLN,D,20040625,000000,4.5519,4.5755,4.5489,4.5587,0,0
EURPLN,D,20040628,000000,4.5548,4.559,4.5286,4.5368,0,0
EURPLN,D,20040629,000000,4.5264,4.5502,4.5235,4.5289,0,0
EURPLN,D,20040630,000000,4.5259,4.5396,4.4911,4.4973,0,0
EURPLN,D,20040701,000000,4.4982,4.5117,4.4905,4.5045,0,0
EURPLN,D,20040702,000000,4.5084,4.5359,4.5033,4.5173,0,0
EURPLN,D,20040705,000000,4.5204,4.5306,4.5126,4.5252,0,0
EURPLN,D,20040706,000000,4.5271,4.5292,4.5024,4.5039,0,0
EURPLN,D,20040707,000000,4.5098,4.5272,4.5098,4.5254,0,0
EURPLN,D,20040708,000000,4.5258,4.5341,4.5139,4.5266,0,0
EURPLN,D,20040709,000000,4.5269,4.5379,4.5085,4.5154,0,0
EURPLN,D,20040712,000000,4.5105,4.5229,4.4823,4.4831,0,0
EURPLN,D,20040713,000000,4.4841,4.4846,4.454,4.4559,0,0
EURPLN,D,20040714,000000,4.4603,4.4732,4.431,4.4396,0,0
EURPLN,D,20040715,000000,4.435,4.4707,4.4149,4.4684,0,0
EURPLN,D,20040716,000000,4.4684,4.4766,4.4033,4.4244,0,0
