<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950518,000000,7.29484,7.29484,7.29484,7.29484,114114.11125511747,0
CDR,D,19950519,000000,7.23856,7.23856,7.23856,7.23856,83810.88684333386,0
CDR,D,19950522,000000,6.75162,6.75162,6.75162,6.75162,100108.97545160429,0
CDR,D,19950523,000000,6.08672,6.08672,6.08672,6.08672,94283.9385972335,0
CDR,D,19950524,000000,6.66735,6.66735,6.66735,6.66735,31487.37366219704,0
CDR,D,19950525,000000,7.3135,7.3135,7.3135,7.3135,120304.67655394028,0
CDR,D,19950526,000000,7.18229,7.18229,7.18229,7.18229,70493.02597020412,0
CDR,D,19950529,000000,7.18229,7.18229,7.18229,7.18229,41587.76967606913,0
CDR,D,19950530,000000,6.86398,6.86398,6.86398,6.86398,52946.64245134667,0
CDR,D,19950531,000000,6.19917,6.19917,6.19917,6.19917,52098.49427800459,0
CDR,D,19950601,000000,6.12423,6.12423,6.12423,6.12423,67055.63313322446,0
CDR,D,19950602,000000,6.21783,6.21783,6.21783,6.21783,83047.2480318012,0
CDR,D,19950605,000000,6.41455,6.41455,6.41455,6.41455,40763.03975961386,0
CDR,D,19950606,000000,6.70477,6.70477,6.70477,6.70477,75500.46020369414,0
CDR,D,19950607,000000,6.9015,6.9015,6.9015,6.9015,81905.86255482976,0
CDR,D,19950608,000000,6.70477,6.70477,6.70477,6.70477,39876.20055315432,0
CDR,D,19950609,000000,6.51748,6.51748,6.51748,6.51748,34241.56430912487,0
CDR,D,19950612,000000,6.14289,6.14289,6.14289,6.14289,66356.13998186034,0
CDR,D,19950613,000000,6.32085,6.32085,6.32085,6.32085,52789.841948712565,0
CDR,D,19950614,000000,6.51748,6.51748,6.51748,6.51748,68326.32811561461,0
CDR,D,19950616,000000,6.12423,6.12423,6.12423,6.12423,50638.41687035473,0
CDR,D,19950619,000000,6.12423,6.12423,6.12423,6.12423,28095.79915391035,0
CDR,D,19950620,000000,6.32085,6.32085,6.32085,6.32085,39173.65284654427,0
CDR,D,19950621,000000,6.32085,6.32085,6.32085,6.32085,19948.282127397597,0
CDR,D,19950622,000000,6.21783,6.21783,6.21783,6.21783,20739.41193614564,0
CDR,D,19950623,000000,6.35827,6.35827,6.35827,6.35827,15100.702951787609,0
CDR,D,19950626,000000,6.68602,6.68602,6.68602,6.68602,45520.00046292157,0
CDR,D,19950627,000000,6.70477,6.70477,6.70477,6.70477,56272.03492930154,0
CDR,D,19950628,000000,6.16175,6.16175,6.16175,6.16175,29296.2393656391,0
CDR,D,19950629,000000,6.32085,6.32085,6.32085,6.32085,76695.80949001267,0
CDR,D,19950630,000000,6.32085,6.32085,6.32085,6.32085,90782.4001000853,0
CDR,D,19950703,000000,6.41455,6.41455,6.41455,6.41455,68975.93019795923,0
CDR,D,19950704,000000,6.18041,6.18041,6.18041,6.18041,27746.561670768606,0
CDR,D,19950705,000000,5.92761,5.92761,5.92761,5.92761,61339.54208263253,0
CDR,D,19950706,000000,5.92761,5.92761,5.92761,5.92761,75008.6768090673,0
CDR,D,19950707,000000,5.98379,5.98379,5.98379,5.98379,45281.745153722964,0
CDR,D,19950710,000000,5.39382,5.39382,5.39382,5.39382,245458.96865365584,0
CDR,D,19950711,000000,5.49684,5.49684,5.49684,5.49684,74963.87666545698,0
CDR,D,19950712,000000,5.33763,5.33763,5.33763,5.33763,61151.17784245447,0
CDR,D,19950713,000000,5.45933,5.45933,5.45933,5.45933,34727.23859325984,0
CDR,D,19950714,000000,5.45933,5.45933,5.45933,5.45933,34358.65559355988,0
CDR,D,19950717,000000,5.6091,5.6091,5.6091,5.6091,35274.00398231744,0
CDR,D,19950718,000000,5.59033,5.59033,5.59033,5.59033,108157.72852516265,0
CDR,D,19950719,000000,5.5155,5.5155,5.5155,5.5155,38166.667800402785,0
CDR,D,19950720,000000,5.3563,5.3563,5.3563,5.3563,64378.82455253255,0
CDR,D,19950721,000000,5.22518,5.22518,5.22518,5.22518,105801.64824531345,0
CDR,D,19950724,000000,4.92552,4.92552,4.92552,4.92552,101649.48948073901,0
CDR,D,19950725,000000,5.04741,5.04741,5.04741,5.04741,141500.23540683722,0
CDR,D,19950726,000000,5.04741,5.04741,5.04741,5.04741,93540.6634873417,0
CDR,D,19950727,000000,5.55292,5.55292,5.55292,5.55292,318207.2745805774,0
CDR,D,19950728,000000,6.10547,6.10547,6.10547,6.10547,437141.4740140915,0
CDR,D,19950731,000000,5.74964,5.74964,5.74964,5.74964,126867.89759278863,0
CDR,D,19950801,000000,5.73088,5.73088,5.73088,5.73088,172059.02427421234,0
CDR,D,19950802,000000,5.82458,5.82458,5.82458,5.82458,124560.69019688034,0
CDR,D,19950803,000000,5.69336,5.69336,5.69336,5.69336,76168.3896175143,0
CDR,D,19950804,000000,5.59033,5.59033,5.59033,5.59033,21363.559391438142,0
CDR,D,19950807,000000,5.63729,5.63729,5.63729,5.63729,70744.51768546808,0
CDR,D,19950808,000000,5.37505,5.37505,5.37505,5.37505,30306.278967026512,0
CDR,D,19950809,000000,5.31888,5.31888,5.31888,5.31888,63908.42304462823,0
CDR,D,19950810,000000,5.57168,5.57168,5.57168,5.57168,102167.74568749657,0
CDR,D,19950811,000000,5.53426,5.53426,5.53426,5.53426,69829.16929671152,0
CDR,D,19950816,000000,5.71222,5.71222,5.71222,5.71222,91491.05691718822,0
CDR,D,19950817,000000,5.71222,5.71222,5.71222,5.71222,73277.76216959325,0
CDR,D,19950818,000000,5.71222,5.71222,5.71222,5.71222,70214.04325772378,0
CDR,D,19950821,000000,5.49684,5.49684,5.49684,5.49684,19103.188509301443,0
CDR,D,19950822,000000,5.73088,5.73088,5.73088,5.73088,164206.7809214892,0
CDR,D,19950823,000000,5.73088,5.73088,5.73088,5.73088,88559.70206598441,0
CDR,D,19950824,000000,5.67471,5.67471,5.67471,5.67471,33320.10680987545,0
CDR,D,19950825,000000,5.71222,5.71222,5.71222,5.71222,45700.21922244347,0
CDR,D,19950828,000000,5.92761,5.92761,5.92761,5.92761,87070.09729095489,0
CDR,D,19950829,000000,6.02121,6.02121,6.02121,6.02121,138366.26172430636,0
CDR,D,19950830,000000,6.02121,6.02121,6.02121,6.02121,91552.14802211084,0
CDR,D,19950831,000000,6.02121,6.02121,6.02121,6.02121,133467.77329460022,0
CDR,D,19950901,000000,6.12423,6.12423,6.12423,6.12423,107076.41596802916,0
CDR,D,19950904,000000,6.41455,6.41455,6.41455,6.41455,121589.62612748248,0
CDR,D,19950905,000000,6.57365,6.57365,6.57365,6.57365,184277.24525873503,0
CDR,D,19950906,000000,6.61117,6.61117,6.61117,6.61117,106571.39616734,0
CDR,D,19950907,000000,6.70477,6.70477,6.70477,6.70477,155401.51633198376,0
CDR,D,19950908,000000,6.98566,6.98566,6.98566,6.98566,145796.97645306305,0
CDR,D,19950911,000000,7.3135,7.3135,7.3135,7.3135,182162.47484332835,0
CDR,D,19950912,000000,7.27598,7.27598,7.27598,7.27598,116690.11951268565,0
CDR,D,19950913,000000,7.09812,7.09812,7.09812,7.09812,166912.09868447913,0
CDR,D,19950914,000000,7.33226,7.33226,7.33226,7.33226,144455.00851493486,0
CDR,D,19950915,000000,7.25733,7.25733,7.25733,7.25733,158624.0721166506,0
CDR,D,19950918,000000,6.9015,6.9015,6.9015,6.9015,105009.50025148276,0
CDR,D,19950919,000000,6.21783,6.21783,6.21783,6.21783,97351.73024943055,0
CDR,D,19950920,000000,6.18041,6.18041,6.18041,6.18041,111399.62982638169,0
CDR,D,19950921,000000,6.27401,6.27401,6.27401,6.27401,133557.37358181682,0
CDR,D,19950922,000000,6.19917,6.19917,6.19917,6.19917,50806.417408891924,0
CDR,D,19950925,000000,6.23659,6.23659,6.23659,6.23659,53451.662252040886,0
CDR,D,19950926,000000,6.32085,6.32085,6.32085,6.32085,77567.37592024257,0
CDR,D,19950927,000000,6.51748,6.51748,6.51748,6.51748,84828.05374029478,0
CDR,D,19950928,000000,5.87133,5.87133,5.87133,5.87133,215936.69219979583,0
CDR,D,19950929,000000,6.23659,6.23659,6.23659,6.23659,92479.71463185211,0
CDR,D,19951002,000000,6.32085,6.32085,6.32085,6.32085,71943.93971211619,0
CDR,D,19951003,000000,6.27401,6.27401,6.27401,6.27401,46350.839489868704,0
CDR,D,19951004,000000,5.92761,5.92761,5.92761,5.92761,41930.89804871802,0
CDR,D,19951005,000000,5.82458,5.82458,5.82458,5.82458,54303.883165711544,0
CDR,D,19951006,000000,6.02121,6.02121,6.02121,6.02121,49466.48584092199,0
CDR,D,19951009,000000,5.74964,5.74964,5.74964,5.74964,24610.55161807444,0
CDR,D,19951010,000000,5.69336,5.69336,5.69336,5.69336,64568.206977792244,0
CDR,D,19951011,000000,5.67471,5.67471,5.67471,5.67471,67086.17868568577,0
CDR,D,19951012,000000,5.67471,5.67471,5.67471,5.67471,45396.80006799369,0
CDR,D,19951013,000000,5.63729,5.63729,5.63729,5.63729,54234.646580131775,0
CDR,D,19951016,000000,5.59033,5.59033,5.59033,5.59033,24314.25975920017,0
CDR,D,19951017,000000,5.73088,5.73088,5.73088,5.73088,76607.22738787568,0
CDR,D,19951018,000000,5.69336,5.69336,5.69336,5.69336,31625.84683335456,0
CDR,D,19951019,000000,5.53426,5.53426,5.53426,5.53426,42007.26192987128,0
CDR,D,19951020,000000,5.22518,5.22518,5.22518,5.22518,23841.821881131556,0
CDR,D,19951023,000000,5.22518,5.22518,5.22518,5.22518,57828.83991974554,0
CDR,D,19951024,000000,5.12225,5.12225,5.12225,5.12225,48687.574253158666,0
CDR,D,19951025,000000,5.12225,5.12225,5.12225,5.12225,39322.30786852223,0
CDR,D,19951026,000000,5.22518,5.22518,5.22518,5.22518,39353.871606065164,0
CDR,D,19951027,000000,5.42191,5.42191,5.42191,5.42191,68666.40193301757,0
CDR,D,19951030,000000,5.42191,5.42191,5.42191,5.42191,16703.326270924576,0
CDR,D,19951031,000000,5.2627,5.2627,5.2627,5.2627,38300.050046150085,0
CDR,D,19951102,000000,5.42191,5.42191,5.42191,5.42191,14948.993374563725,0
CDR,D,19951103,000000,5.53426,5.53426,5.53426,5.53426,65131.26332816214,0
CDR,D,19951106,000000,5.65594,5.65594,5.65594,5.65594,66785.81408648292,0
CDR,D,19951107,000000,5.63729,5.63729,5.63729,5.63729,33907.59960221478,0
CDR,D,19951108,000000,5.69336,5.69336,5.69336,5.69336,45946.62001229721,0
CDR,D,19951109,000000,5.5155,5.5155,5.5155,5.5155,13597.861770691721,0
CDR,D,19951110,000000,5.2627,5.2627,5.2627,5.2627,26988.013784646155,0
CDR,D,19951113,000000,5.24403,5.24403,5.24403,5.24403,36247.38892075067,0
CDR,D,19951114,000000,5.24403,5.24403,5.24403,5.24403,43017.3015312587,0
CDR,D,19951115,000000,5.28146,5.28146,5.28146,5.28146,69213.16732207517,0
CDR,D,19951116,000000,5.20652,5.20652,5.20652,5.20652,27392.233262217647,0
CDR,D,19951117,000000,5.22518,5.22518,5.22518,5.22518,24896.661626129287,0
CDR,D,19951120,000000,4.92552,4.92552,4.92552,4.92552,66649.37728548968,0
CDR,D,19951121,000000,5.08483,5.08483,5.08483,5.08483,44047.70483428597,0
CDR,D,19951122,000000,5.28146,5.28146,5.28146,5.28146,28217.981363755578,0
CDR,D,19951123,000000,5.28146,5.28146,5.28146,5.28146,38629.9420127326,0
CDR,D,19951124,000000,5.14092,5.14092,5.14092,5.14092,21484.72341620072,0
